IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.243.86.79,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,17,38.17
47.243.27.217,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,25,31.54
47.243.27.217,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,23,31.39
47.243.86.79,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,17,30.43
47.242.157.96,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,19,29.27
47.76.204.76,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,14,29.07
47.242.157.96,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,16,27.73
47.76.204.76,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,16,26.68
8.218.146.204,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,18,24.26
47.76.94.15,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,22,20.67
47.243.86.79,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,16,19.85
47.76.77.103,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,16,19.74
183.232.159.226,2052,2086,FALSE,HKG,Asia Pacific,Hong Kong,16,17.96
47.76.94.15,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,22,17.35
47.76.204.76,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,19,17.28
43.154.96.33,443,443,TRUE,HKG,Asia Pacific,Hong Kong,47,16.57
47.76.77.103,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,16,15.77
47.76.94.15,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,18,14.39
47.243.204.32,8443,443,TRUE,HKG,Asia Pacific,Hong Kong,18,14.38
47.76.77.103,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,17,11.38
8.218.146.204,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,19,9.49
47.76.146.1,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,14,8.89
47.243.27.217,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,22,8.13
47.76.94.15,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,17,4.67
47.76.146.1,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,17,3.59
8.210.101.157,80,80,FALSE,HKG,Asia Pacific,Hong Kong,22,3.17
47.76.37.57,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,20,3.06
47.76.146.1,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,20,2.26
47.76.37.57,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,21,2.25
47.76.94.15,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,16,2.18
156.251.144.162,41683,443,TRUE,HKG,Asia Pacific,Hong Kong,43,1.85
47.76.146.1,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,17,1.66
8.210.101.157,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,17,1.61
8.210.101.157,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,20,1.48
154.88.31.91,30000,443,TRUE,HKG,Asia Pacific,Hong Kong,17,1.37
8.210.101.157,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,22,1.11
47.243.27.217,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,20,0.97
8.218.63.172,443,443,TRUE,HKG,Asia Pacific,Hong Kong,16,0.67
47.76.37.57,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,18,0.6
123.58.212.186,35123,443,TRUE,HKG,Asia Pacific,Hong Kong,15,0.5
38.181.25.31,52001,443,TRUE,HKG,Asia Pacific,Hong Kong,22,0.32
152.32.190.239,4431,443,TRUE,HKG,Asia Pacific,Hong Kong,14,0.3
47.242.157.96,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,16,0.28
47.243.27.217,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,25,0.25
47.76.146.1,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,16,0.13
45.207.11.69,8899,443,TRUE,HKG,Asia Pacific,Hong Kong,17,0.12
118.26.38.134,443,443,TRUE,HKG,Asia Pacific,Hong Kong,17,0.11
38.207.179.191,33135,443,TRUE,HKG,Asia Pacific,Hong Kong,79,0.1
47.76.204.76,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,15,0.09
47.242.157.96,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,21,0.08
154.204.60.218,29876,443,TRUE,HKG,Asia Pacific,Hong Kong,78,0.08
47.57.13.107,443,0,TRUE,HKG,Asia Pacific,Hong Kong,18,0.06
47.242.157.96,80,80,FALSE,HKG,Asia Pacific,Hong Kong,19,0.03
38.181.35.164,37459,443,TRUE,HKG,Asia Pacific,Hong Kong,20,0.03
8.210.101.157,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,20,0.01
47.243.27.217,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,22,0.01
47.76.37.57,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,18,0
103.220.72.40,443,0,TRUE,HKG,Asia Pacific,Hong Kong,17,0
219.76.13.167,443,443,TRUE,HKG,Asia Pacific,Hong Kong,94,0
47.76.94.15,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,23,0
47.242.68.32,443,443,TRUE,HKG,Asia Pacific,Hong Kong,15,0
120.220.19.109,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,49,0
219.76.13.181,443,443,TRUE,HKG,Asia Pacific,Hong Kong,91,0
103.103.245.205,20018,443,TRUE,HKG,Asia Pacific,Hong Kong,43,0
219.76.13.177,443,443,TRUE,HKG,Asia Pacific,Hong Kong,524,0
43.154.104.77,443,443,TRUE,HKG,Asia Pacific,Hong Kong,38,0
